Date,Special Period,Special Day,Day,Day #,Top 10 Gross,%?? YD,%?? LW,Releases,#1_Release,Gross,Link
12/31/2020, Pandemic,New Year's Eve,Thursday,366,"$2,915,033 ",-93%,-91.90%,17,Wonder_Woman_1984,"$1,378,106 ",https://www.rottentomatoes.com/m/Wonder_Woman_1984
12/30/2020, Pandemic,,Wednesday,365,"$2,876,460 ",-6.10%,-91.90%,16,Wonder_Woman_1984,"$1,451,131 ",https://www.rottentomatoes.com/m/Wonder_Woman_1984
12/29/2020, Pandemic,,Tuesday,364,"$3,063,773 ",-0.70%,224.30%,17,Wonder_Woman_1984,"$1,655,240 ",https://www.rottentomatoes.com/m/Wonder_Woman_1984
12/28/2020, Pandemic,,Monday,363,"$3,085,353 ",-41.80%,231.40%,17,Wonder_Woman_1984,"$1,822,877 ",https://www.rottentomatoes.com/m/Wonder_Woman_1984
12/27/2020, Pandemic,,Sunday,362,"$5,302,360 ",-36.90%,183%,27,Wonder_Woman_1984,"$3,408,342 ",https://www.rottentomatoes.com/m/Wonder_Woman_1984
12/26/2020, Pandemic,,Saturday,361,"$8,403,557 ",-16.60%,210.80%,27,Wonder_Woman_1984,"$5,811,188 ",https://www.rottentomatoes.com/m/Wonder_Woman_1984
12/25/2020, Pandemic,Christmas Day,Friday,360,"$10,074,446 ",1187.50%,-85%,27,Wonder_Woman_1984,"$7,482,427 ",https://www.rottentomatoes.com/m/Wonder_Woman_1984
12/24/2020, Pandemic,,Thursday,359,"$782,482 ",-16%,144.70%,15,The_Croods_A_New_Age,"$348,215 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/23/2020, Pandemic,,Wednesday,358,"$930,994 ",-99.10%,-57.50%,17,The_Croods_A_New_Age,"$416,835 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/22/2020, Pandemic,,Tuesday,357,"$944,706 ",22.10%,131.60%,17,The_Croods_A_New_Age,"$420,110 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/21/2020, Pandemic,,Monday,356,"$773,974 ",-58.70%,141.10%,17,The_Croods_A_New_Age,"$323,075 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/20/2020, Pandemic,,Sunday,355,"$1,873,323 ",-30.70%,359.20%,25,The_Croods_A_New_Age,"$647,765 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/19/2020, Pandemic,,Saturday,354,"$2,703,842 ",23.50%,5.40%,27,The_Croods_A_New_Age,"$884,055 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/18/2020, Pandemic,,Friday,353,"$2,188,535 ",584.50%,41.70%,27,Monster_Hunter,"$824,964 ",https://www.rottentomatoes.com/m/Monster_Hunter
12/17/2020, Pandemic,,Thursday,352,"$319,712 ",-0.40%,-25.80%,16,The_Croods_A_New_Age,"$180,710 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/16/2020, Pandemic,,Wednesday,351,"$321,048 ",-21.30%,-19.50%,16,The_Croods_A_New_Age,"$170,225 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/15/2020, Pandemic,,Tuesday,350,"$407,983 ",39.20%,-22.70%,16,The_Croods_A_New_Age,"$217,325 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/14/2020, Pandemic,,Monday,349,"$293,095 ",-80.40%,-26.50%,15,The_Croods_A_New_Age,"$150,370 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/13/2020, Pandemic,,Sunday,348,"$1,494,353 ",-41.70%,183.10%,25,The_Croods_A_New_Age,"$847,930 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/12/2020, Pandemic,,Saturday,347,"$2,565,080 ",66%,-24.30%,25,The_Croods_A_New_Age,"$1,435,040 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/11/2020, Pandemic,,Friday,346,"$1,544,909 ",258.60%,-26%,25,The_Croods_A_New_Age,"$777,565 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/10/2020, Pandemic,,Thursday,345,"$430,841 ",8%,-20.30%,18,The_Croods_A_New_Age,"$230,115 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/9/2020, Pandemic,,Wednesday,344,"$398,932 ",-24.40%,-95.60%,19,The_Croods_A_New_Age,"$209,880 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/8/2020, Pandemic,,Tuesday,343,"$527,922 ",40.30%,-2.30%,20,The_Croods_A_New_Age,"$279,625 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/7/2020, Pandemic,,Monday,342,"$376,179 ",-80.80%,-40.60%,21,The_Croods_A_New_Age,"$190,220 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/6/2020, Pandemic,,Sunday,341,"$1,958,290 ",-42.20%,-34.40%,27,The_Croods_A_New_Age,"$1,240,730 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/5/2020, Pandemic,,Saturday,340,"$3,388,787 ",62.30%,435.30%,27,The_Croods_A_New_Age,"$2,053,380 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/4/2020, Pandemic,,Friday,339,"$2,087,988 ",286.40%,-59.70%,27,The_Croods_A_New_Age,"$1,145,745 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/3/2020, Pandemic,,Thursday,338,"$540,311 ",0.80%,-84.20%,20,The_Croods_A_New_Age,"$340,835 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/2/2020, Pandemic,,Wednesday,337,"$535,950 ",-29.70%,-78.10%,20,The_Croods_A_New_Age,"$332,730 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/1/2020, Pandemic,,Tuesday,336,"$762,119 ",20.40%,26.50%,19,The_Croods_A_New_Age,"$512,065 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
11/30/2020, Pandemic,,Monday,335,"$633,019 ",-78.80%,-96.20%,20,The_Croods_A_New_Age,"$440,325 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
11/29/2020, Pandemic,,Sunday,334,"$2,983,792 ",-41.10%,-87.90%,27,The_Croods_A_New_Age,"$2,201,600 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
11/28/2020, Pandemic,,Saturday,333,"$5,067,022 ",-2.20%,68.90%,28,The_Croods_A_New_Age,"$3,614,945 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
11/27/2020, Pandemic,,Friday,332,"$5,179,533 ",51.50%,213.40%,28,The_Croods_A_New_Age,"$3,907,655 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
11/26/2020, Pandemic,Thanksgiving,Thursday,331,"$3,418,542 ",-86.20%,590.50%,28,The_Croods_A_New_Age,"$2,669,640 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
11/25/2020, Pandemic,,Wednesday,330,"$2,448,042 ",306.30%,-54.50%,33,The_Croods_A_New_Age,"$1,880,615 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
11/24/2020, Pandemic,,Tuesday,329,"$602,537 ",31.60%,21.70%,21,Freaky,"$146,675 ",https://www.rottentomatoes.com/m/Freaky
11/23/2020, Pandemic,,Monday,328,"$457,926 ",-65.80%,-29.80%,22,Freaky,"$119,060 ",https://www.rottentomatoes.com/m/Freaky
11/22/2020, Pandemic,,Sunday,327,"$1,337,629 ",-44.30%,84.20%,27,Freaky,"$306,260 ",https://www.rottentomatoes.com/m/Freaky
11/21/2020, Pandemic,,Saturday,326,"$2,403,430 ",45.40%,268.40%,27,Freaky,"$567,445 ",https://www.rottentomatoes.com/m/Freaky
11/20/2020, Pandemic,,Friday,325,"$1,652,573 ",233.80%,-52.60%,27,Freaky,"$407,445 ",https://www.rottentomatoes.com/m/Freaky
11/19/2020, Pandemic,,Thursday,324,"$495,088 ",-2.90%,-19.70%,23,Freaky,"$153,825 ",https://www.rottentomatoes.com/m/Freaky
11/18/2020, Pandemic,,Wednesday,323,"$509,806 ",-29.80%,-52%,23,Freaky,"$165,890 ",https://www.rottentomatoes.com/m/Freaky
11/17/2020, Pandemic,,Tuesday,322,"$726,133 ",11.30%,-97.30%,23,Freaky,"$242,345 ",https://www.rottentomatoes.com/m/Freaky
11/16/2020, Pandemic,,Monday,321,"$652,469 ",-72%,-38.60%,23,Freaky,"$209,880 ",https://www.rottentomatoes.com/m/Freaky
11/15/2020, Pandemic,,Sunday,320,"$2,332,485 ",-48.60%,142.20%,29,Freaky,"$716,430 ",https://www.rottentomatoes.com/m/Freaky
11/14/2020, Pandemic,,Saturday,319,"$4,536,693 ",30.10%,-4.10%,29,Freaky,"$1,397,115 ",https://www.rottentomatoes.com/m/Freaky
11/13/2020, Pandemic,,Friday,318,"$3,485,916 ",465.70%,0.50%,30,Freaky,"$1,486,810 ",https://www.rottentomatoes.com/m/Freaky
11/12/2020, Pandemic,,Thursday,317,"$616,223 ",-42%,3.80%,30,Let_Him_Go,"$194,235 ",https://www.rottentomatoes.com/m/Let_Him_Go
11/11/2020, Pandemic,,Wednesday,316,"$1,062,259 ",10.30%,-90.10%,29,Let_Him_Go,"$311,155 ",https://www.rottentomatoes.com/m/Let_Him_Go
11/10/2020, Pandemic,,Tuesday,315,"$963,180 ",48.90%,32.80%,30,Let_Him_Go,"$359,795 ",https://www.rottentomatoes.com/m/Let_Him_Go
11/9/2020, Pandemic,,Monday,314,"$646,690 ",-74.40%,-4.10%,30,Let_Him_Go,"$221,810 ",https://www.rottentomatoes.com/m/Let_Him_Go
11/8/2020, Pandemic,,Sunday,313,"$2,525,071 ",-46.60%,10.30%,31,Let_Him_Go,"$900,420 ",https://www.rottentomatoes.com/m/Let_Him_Go
